date,date_de,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2026-05-26,26.05.2026,42,11,33,23,5,12,10
2026-05-22,22.05.2026,46,5,35,34,42,5,3
2026-05-19,19.05.2026,47,39,10,36,37,5,6
2026-05-15,15.05.2026,1,36,33,37,32,7,12
2026-05-12,12.05.2026,28,15,35,7,19,11,3
2026-05-08,08.05.2026,3,41,18,17,31,6,12
2026-05-05,05.05.2026,33,1,43,30,34,5,10
2026-05-01,01.05.2026,27,11,13,10,16,5,7
2026-04-28,28.04.2026,43,41,19,20,46,5,7
2026-04-24,24.04.2026,29,44,6,21,39,1,5
2026-04-21,21.04.2026,32,47,39,36,31,7,8
2026-04-17,17.04.2026,44,16,43,31,35,2,9
2026-04-14,14.04.2026,13,46,32,22,47,6,7
2026-04-10,10.04.2026,48,1,11,18,6,12,10
2026-04-07,07.04.2026,27,23,2,16,4,5,8
2026-04-03,03.04.2026,22,9,10,18,37,1,11
2026-03-31,31.03.2026,15,5,18,35,20,7,8
2026-03-27,27.03.2026,38,23,40,25,21,11,7
2026-03-24,24.03.2026,48,15,9,23,43,5,3
2026-03-20,20.03.2026,2,25,21,17,30,2,6
2026-03-17,17.03.2026,13,17,12,37,16,4,11
2026-03-13,13.03.2026,37,7,23,47,44,2,6
2026-03-10,10.03.2026,3,18,28,2,17,10,4
2026-03-06,06.03.2026,47,8,26,17,31,1,6
2026-03-03,03.03.2026,1,49,14,35,9,2,10
2026-02-27,27.02.2026,47,19,28,17,7,2,7
2026-02-24,24.02.2026,48,26,38,4,5,9,2
2026-02-20,20.02.2026,23,17,40,36,11,6,5
2026-02-17,17.02.2026,23,40,39,8,44,7,6
2026-02-13,13.02.2026,1,45,44,21,46,2,7
2026-02-10,10.02.2026,19,39,12,47,34,4,5
2026-02-06,06.02.2026,38,41,8,48,14,11,1
2026-02-03,03.02.2026,27,37,3,20,44,2,1
2026-01-30,30.01.2026,17,13,37,8,15,3,7
2026-01-27,27.01.2026,29,18,32,19,13,9,8
2026-01-23,23.01.2026,39,36,18,45,50,6,9
2026-01-20,20.01.2026,32,26,45,37,16,2,3
2026-01-16,16.01.2026,39,37,48,16,8,11,5
2026-01-13,13.01.2026,2,16,47,33,27,6,12
2026-01-09,09.01.2026,19,1,17,25,41,6,12
2026-01-06,06.01.2026,33,21,23,38,30,12,8
2026-01-02,02.01.2026,10,29,34,15,38,2,9
2025-12-30,30.12.2025,20,23,18,27,10,1,6
2025-12-26,26.12.2025,15,21,26,42,29,12,4
2025-12-23,23.12.2025,29,40,35,41,24,7,6
2025-12-19,19.12.2025,35,45,9,8,15,2,5
2025-12-16,16.12.2025,28,22,30,12,31,11,4
2025-12-12,12.12.2025,50,37,25,27,2,11,2
2025-12-09,09.12.2025,2,32,33,37,30,9,2
2025-12-05,05.12.2025,24,18,1,4,22,10,6
2025-12-02,02.12.2025,34,14,30,40,35,6,4
2025-11-28,28.11.2025,16,50,35,12,46,5,3
2025-11-25,25.11.2025,46,35,23,30,1,8,4
2025-11-21,21.11.2025,30,50,15,45,24,6,5
2025-11-18,18.11.2025,49,27,19,25,41,3,9
2025-11-14,14.11.2025,30,3,37,5,20,12,6
2025-11-11,11.11.2025,25,50,24,41,8,8,9
2025-11-07,07.11.2025,40,19,22,13,35,2,8
2025-11-04,04.11.2025,39,21,33,22,3,1,9
2025-10-31,31.10.2025,47,5,41,11,40,1,5
2025-10-28,28.10.2025,50,3,22,4,45,12,9
2025-10-24,24.10.2025,27,13,43,42,12,4,3
2025-10-21,21.10.2025,46,21,40,6,30,3,4
2025-10-17,17.10.2025,21,46,35,34,18,2,3
2025-10-14,14.10.2025,50,8,12,13,49,2,4
2025-10-10,10.10.2025,31,24,4,5,41,12,3
2025-10-07,07.10.2025,10,42,22,38,48,2,9
2025-10-03,03.10.2025,21,27,1,2,7,8,12
2025-09-30,30.09.2025,24,11,27,8,13,7,3
2025-09-26,26.09.2025,48,35,26,12,24,1,2
2025-09-23,23.09.2025,18,31,32,7,33,10,11
2025-09-19,19.09.2025,37,46,40,9,41,1,12
2025-09-16,16.09.2025,39,37,8,9,14,1,9
2025-09-12,12.09.2025,7,24,45,33,22,4,12
2025-09-09,09.09.2025,24,14,50,18,27,8,9
2025-09-05,05.09.2025,14,6,29,25,46,7,11
2025-09-02,02.09.2025,12,38,1,5,47,8,7
2025-08-29,29.08.2025,23,5,19,3,48,5,1
2025-08-26,26.08.2025,21,35,8,26,14,8,4
2025-08-22,22.08.2025,22,14,3,16,34,10,7
2025-08-19,19.08.2025,47,33,11,3,4,9,6
2025-08-15,15.08.2025,11,33,43,20,5,12,6
2025-08-12,12.08.2025,16,11,37,42,29,1,11
2025-08-08,08.08.2025,23,16,7,42,41,1,4
2025-08-05,05.08.2025,1,18,34,21,22,6,1
2025-08-01,01.08.2025,4,12,33,20,11,5,3
2025-07-29,29.07.2025,43,49,20,21,38,11,6
2025-07-25,25.07.2025,7,13,29,36,8,4,8
2025-07-22,22.07.2025,46,48,20,42,5,8,7
2025-07-18,18.07.2025,39,25,21,12,10,4,2
2025-07-15,15.07.2025,33,45,37,13,28,6,11
2025-07-11,11.07.2025,13,46,43,12,6,6,11
2025-07-08,08.07.2025,43,21,29,27,34,6,10
2025-07-04,04.07.2025,41,14,23,34,44,10,5
2025-07-01,01.07.2025,14,1,9,10,12,8,6
2025-06-27,27.06.2025,26,4,14,50,29,12,3
2025-06-24,24.06.2025,20,31,44,35,40,3,4
2025-06-20,20.06.2025,12,37,46,18,6,9,7
2025-06-17,17.06.2025,10,35,13,15,33,12,7
2025-06-13,13.06.2025,46,15,27,1,18,9,5
2025-06-10,10.06.2025,20,1,17,42,28,12,2
2025-06-06,06.06.2025,11,23,39,7,8,5,11
2025-06-03,03.06.2025,8,26,30,6,19,1,12
2025-05-30,30.05.2025,26,43,5,4,29,9,5
2025-05-27,27.05.2025,41,9,25,6,17,4,10
2025-05-23,23.05.2025,17,40,33,19,11,12,7
2025-05-20,20.05.2025,28,19,20,21,8,10,7
2025-05-16,16.05.2025,8,6,15,27,39,12,6
2025-05-13,13.05.2025,34,16,33,19,14,5,12
2025-05-09,09.05.2025,1,5,36,27,43,9,5
2025-05-06,06.05.2025,49,46,21,22,1,10,9
2025-05-02,02.05.2025,33,22,3,35,15,1,7
2025-04-29,29.04.2025,34,21,30,27,17,8,11
2025-04-25,25.04.2025,40,14,13,45,43,8,5
2025-04-22,22.04.2025,23,38,16,10,29,5,3
